df_author_name,df_author_url
['Jaliyyah Bello'],['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello']
['Macarena Beltran'],['https://pureportal.coventry.ac.uk/en/persons/macarena-beltran']
['Stephen Benjamin'],['https://pureportal.coventry.ac.uk/en/persons/stephen-benjamin']
['Peter Benko'],['https://pureportal.coventry.ac.uk/en/persons/peter-benko']
['James Bennett'],['https://pureportal.coventry.ac.uk/en/persons/james-bennett']
['Jason Bennett'],['https://pureportal.coventry.ac.uk/en/persons/jason-bennett']
['Matthew Bennett'],['https://pureportal.coventry.ac.uk/en/persons/matthew-bennett']
['Kamal Bentahar'],['https://pureportal.coventry.ac.uk/en/persons/kamal-bentahar']
['Ikram Berkani'],['https://pureportal.coventry.ac.uk/en/persons/ikram-berkani']
['Nigel Berkeley'],['https://pureportal.coventry.ac.uk/en/persons/nigel-berkeley']
['Darren Berkland'],['https://pureportal.coventry.ac.uk/en/persons/darren-berkland']
['Eryn Berman-Roberts'],['https://pureportal.coventry.ac.uk/en/persons/eryn-berman-roberts']
['Ishak Adel H E Berrebbah'],['https://pureportal.coventry.ac.uk/en/persons/ishak-adel-h-e-berrebbah']
['Daniel Best'],['https://pureportal.coventry.ac.uk/en/persons/daniel-best']
['Katerina Beta'],['https://pureportal.coventry.ac.uk/en/persons/katerina-beta']
['Gary Betts'],['https://pureportal.coventry.ac.uk/en/persons/gary-betts']
['Mike Betts'],['https://pureportal.coventry.ac.uk/en/persons/mike-betts']
['Rohit Bhagat'],['https://pureportal.coventry.ac.uk/en/persons/rohit-bhagat']
['Romit Bhandari'],['https://pureportal.coventry.ac.uk/en/persons/romit-bhandari']
['Dalvir Bhangal'],['https://pureportal.coventry.ac.uk/en/persons/dalvir-bhangal']
['Satveer Bhella'],['https://pureportal.coventry.ac.uk/en/persons/satveer-bhella']
['Mohammad Rashed Alam Bhuiyan'],['https://pureportal.coventry.ac.uk/en/persons/mohammad-rashed-alam-bhuiyan']
['Liliane Binego'],['https://pureportal.coventry.ac.uk/en/persons/liliane-binego']
['Elena Bini'],['https://pureportal.coventry.ac.uk/en/persons/elena-bini']
['Ijhar Rusli'],['https://pureportal.coventry.ac.uk/en/persons/ijhar-rusli']
['Dzariff Bin Zainal Abidin'],['https://pureportal.coventry.ac.uk/en/persons/dzariff-bin-zainal-abidin']
['Bob Bird'],['https://pureportal.coventry.ac.uk/en/persons/bob-bird']
['Stewart Birrell'],['https://pureportal.coventry.ac.uk/en/persons/stewart-birrell']
['Natalie Louise Bisal'],['https://pureportal.coventry.ac.uk/en/persons/natalie-louise-bisal']
['Rui Biscaia'],['https://pureportal.coventry.ac.uk/en/persons/rui-biscaia']
['Jess Bishop'],['https://pureportal.coventry.ac.uk/en/persons/jess-bishop']
['Lucy Bishop'],['https://pureportal.coventry.ac.uk/en/persons/lucy-bishop']
['Daniel Bisig'],['https://pureportal.coventry.ac.uk/en/persons/daniel-bisig']
['Nel Black'],['https://pureportal.coventry.ac.uk/en/persons/nel-black']
['Matthew Blackett'],['https://pureportal.coventry.ac.uk/en/persons/matthew-blackett']
['Joel Blackledge'],['https://pureportal.coventry.ac.uk/en/persons/joel-blackledge']
['Hetty Blades'],['https://pureportal.coventry.ac.uk/en/persons/hetty-blades']
['Rob Blakey'],['https://pureportal.coventry.ac.uk/en/persons/rob-blakey']
['Kirsty Blewitt'],['https://pureportal.coventry.ac.uk/en/persons/kirsty-blewitt']
['Will Blewitt'],['https://pureportal.coventry.ac.uk/en/persons/will-blewitt']
['James Blundell'],['https://pureportal.coventry.ac.uk/en/persons/james-blundell']
['Mike Blundell'],['https://pureportal.coventry.ac.uk/en/persons/mike-blundell']
['Joshua Bluteau'],['https://pureportal.coventry.ac.uk/en/persons/joshua-bluteau']
['Patricia Ann Sexton Bluteau'],['https://pureportal.coventry.ac.uk/en/persons/patricia-ann-sexton-bluteau']
['Kwabena Appiah Boakye'],['https://pureportal.coventry.ac.uk/en/persons/kwabena-appiah-boakye']
['Richard Boczko'],['https://pureportal.coventry.ac.uk/en/persons/richard-boczko']
['Benjamin Bogdanovic'],['https://pureportal.coventry.ac.uk/en/persons/benjamin-bogdanovic']
['Adam Bogg'],['https://pureportal.coventry.ac.uk/en/persons/adam-bogg']
['Kelly Bogue'],['https://pureportal.coventry.ac.uk/en/persons/kelly-bogue']
['Anna Bogush'],['https://pureportal.coventry.ac.uk/en/persons/anna-bogush']
['Shadi Bokaee'],['https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee']
['JC Botha'],['https://pureportal.coventry.ac.uk/en/persons/jc-botha']
['Willings Botha'],['https://pureportal.coventry.ac.uk/en/persons/willings-botha']
['Faouzi Bouali'],['https://pureportal.coventry.ac.uk/en/persons/faouzi-bouali']
['Alkiviadis Boulos'],['https://pureportal.coventry.ac.uk/en/persons/alkiviadis-boulos']
['M Brack'],['https://pureportal.coventry.ac.uk/en/persons/m-brack']
['Malcolm Bradbrook'],['https://pureportal.coventry.ac.uk/en/persons/malcolm-bradbrook']
['Simon Brake'],['https://pureportal.coventry.ac.uk/en/persons/simon-brake']
['Susan Bray'],['https://pureportal.coventry.ac.uk/en/persons/susan-bray']
['Dom Breadmore'],['https://pureportal.coventry.ac.uk/en/persons/dom-breadmore']
['Helen Breadmore'],['https://pureportal.coventry.ac.uk/en/persons/helen-breadmore']
['Carol Breen'],['https://pureportal.coventry.ac.uk/en/persons/carol-breen']
['Josh Brem-Wilson'],['https://pureportal.coventry.ac.uk/en/persons/josh-brem-wilson']
['James Brennan'],['https://pureportal.coventry.ac.uk/en/persons/james-brennan']
['Rita Ufuomanefe Bright Ononaye'],['https://pureportal.coventry.ac.uk/en/persons/rita-ufuomanefe-bright-ononaye']
['Alisson Vinicius Brito Lopes'],['https://pureportal.coventry.ac.uk/en/persons/alisson-vinicius-brito-lopes']
['Ian Brittain'],['https://pureportal.coventry.ac.uk/en/persons/ian-brittain']
['Aurelie Broeckerhoff'],['https://pureportal.coventry.ac.uk/en/persons/aurelie-broeckerhoff']
['Matthew Brolly'],['https://pureportal.coventry.ac.uk/en/persons/matthew-brolly']
['Katie Brooker'],['https://pureportal.coventry.ac.uk/en/persons/katie-brooker']
['Celine Jane Brookes Smith'],['https://pureportal.coventry.ac.uk/en/persons/celine-jane-brookes-smith']
['David Broom'],['https://pureportal.coventry.ac.uk/en/persons/david-broom']
['Kevin Broughton'],['https://pureportal.coventry.ac.uk/en/persons/kevin-broughton']
['Freddy Brown'],['https://pureportal.coventry.ac.uk/en/persons/freddy-brown']
['Geraldine Brown'],['https://pureportal.coventry.ac.uk/en/persons/geraldine-brown']
['Holly Brown'],['https://pureportal.coventry.ac.uk/en/persons/holly-brown']
['Jennifer Brown'],['https://pureportal.coventry.ac.uk/en/persons/jennifer-brown']
['Katherine Brown'],['https://pureportal.coventry.ac.uk/en/persons/katherine-brown']
['Sarah Brown'],['https://pureportal.coventry.ac.uk/en/persons/sarah-brown']
['Molly Browne'],['https://pureportal.coventry.ac.uk/en/persons/molly-browne']
['James Brusey'],['https://pureportal.coventry.ac.uk/en/persons/james-brusey']
['Jeremy Bryans'],['https://pureportal.coventry.ac.uk/en/persons/jeremy-bryans']
['Kimberley Buchan'],['https://pureportal.coventry.ac.uk/en/persons/kimberley-buchan']
['Kerry Buckingham-Ward'],['https://pureportal.coventry.ac.uk/en/persons/kerry-buckingham-ward']
['Steve Buckley'],['https://pureportal.coventry.ac.uk/en/persons/steve-buckley']
['Emma Buick'],['https://pureportal.coventry.ac.uk/en/persons/emma-buick']
['Kim Bul'],['https://pureportal.coventry.ac.uk/en/persons/kim-bul']
['Karen Bull'],['https://pureportal.coventry.ac.uk/en/persons/karen-bull']
['Lee Bunch'],['https://pureportal.coventry.ac.uk/en/persons/lee-bunch']
['Sara Burbi'],['https://pureportal.coventry.ac.uk/en/persons/sara-burbi']
['Everardt Burger'],['https://pureportal.coventry.ac.uk/en/persons/everardt-burger']
['M Burhan'],['https://pureportal.coventry.ac.uk/en/persons/m-burhan']
['Bernard Burke'],['https://pureportal.coventry.ac.uk/en/persons/bernie-burke']
['Joan Burke'],['https://pureportal.coventry.ac.uk/en/persons/joan-burke']
['Emma Burnett'],['https://pureportal.coventry.ac.uk/en/persons/emma-burnett-3']
['Amy Burrell'],['https://pureportal.coventry.ac.uk/en/persons/amy-burrell']
['Jonathan Burrows'],['https://pureportal.coventry.ac.uk/en/persons/jonathan-burrows']
['Michael Burrows'],['https://pureportal.coventry.ac.uk/en/persons/michael-burrows']
['Mary Burton'],['https://pureportal.coventry.ac.uk/en/persons/mary-burton']
['Joel Busher'],['https://pureportal.coventry.ac.uk/en/persons/joel-busher']
['Tinashe Bvirindi'],['https://pureportal.coventry.ac.uk/en/persons/tinashe-bvirindi']
['Maria Cable'],['https://pureportal.coventry.ac.uk/en/persons/maria-cable']
['Eko Nur Cahyo'],['https://pureportal.coventry.ac.uk/en/persons/eko-nur-cahyo']
['Rui Cai'],['https://pureportal.coventry.ac.uk/en/persons/rui-cai']
['Lorena Caires Moreira'],['https://pureportal.coventry.ac.uk/en/persons/lorena-caires-moreira-2']
['Lucy Cairns'],['https://pureportal.coventry.ac.uk/en/persons/lucy-cairns']
['Emma Calcutt'],['https://pureportal.coventry.ac.uk/en/persons/emma-calcutt']
['Joanne Callaghan'],['https://pureportal.coventry.ac.uk/en/persons/joanne-callaghan']
['Ellen Calteau'],['https://pureportal.coventry.ac.uk/en/persons/ellen-calteau']
['Carol Campion'],['https://pureportal.coventry.ac.uk/en/persons/carol-campion']
['Dongmei Cao'],['https://pureportal.coventry.ac.uk/en/persons/dongmei-cao']
['Grace Cappy'],['https://pureportal.coventry.ac.uk/en/persons/grace-cappy']
['Kassim Caratella'],['https://pureportal.coventry.ac.uk/en/persons/kassim-caratella']
['Lara Carballo'],['https://pureportal.coventry.ac.uk/en/persons/lara-carballo']
['Fabio Carbone'],['https://pureportal.coventry.ac.uk/en/persons/fabio-carbone']
['Nicola Kate Cardenas Blanco'],['https://pureportal.coventry.ac.uk/en/persons/nicola-kate-cardenas-blanco']
['Solene Margueret Cargill'],['https://pureportal.coventry.ac.uk/en/persons/solene-margueret-cargill']
['Joanne Carlier'],['https://pureportal.coventry.ac.uk/en/persons/joanne-carlier']
['Pascal Carlucci'],['https://pureportal.coventry.ac.uk/en/persons/pascal-carlucci']
['Kate Carr-Fanning'],['https://pureportal.coventry.ac.uk/en/persons/kate-carr-fanning']
['Julia Carroll'],['https://pureportal.coventry.ac.uk/en/persons/julia-carroll']
['Grace Carter'],['https://pureportal.coventry.ac.uk/en/persons/grace-carter']
['Jonathan Carter'],['https://pureportal.coventry.ac.uk/en/persons/jonathan-carter']
['Steve Carter'],['https://pureportal.coventry.ac.uk/en/persons/steve-carter']
['Paul Cartlidge'],['https://pureportal.coventry.ac.uk/en/persons/paul-cartlidge']
['Anna Cartwright'],['https://pureportal.coventry.ac.uk/en/persons/anna-cartwright']
['Paul Cashian'],['https://pureportal.coventry.ac.uk/en/persons/paul-cashian']
['Daniel Castro-Fresno'],['https://pureportal.coventry.ac.uk/en/persons/daniel-castro-fresno']
['Jade Catterson'],['https://pureportal.coventry.ac.uk/en/persons/jade-catterson']
['Kathryn Megan Cawley'],['https://pureportal.coventry.ac.uk/en/persons/kathryn-megan-cawley']
['Jacqueline Cawston'],['https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2']
['Mateja Celestina'],['https://pureportal.coventry.ac.uk/en/persons/mateja-celestina']
['Tiziana Cervi-Wilson'],['https://pureportal.coventry.ac.uk/en/persons/tiziana-cervi-wilson']
['Fiona Chaffin'],['https://pureportal.coventry.ac.uk/en/persons/fiona-chaffin']
['Lindsey Chambers'],['https://pureportal.coventry.ac.uk/en/persons/lindsey-chambers-2']
['Marina Chang'],['https://pureportal.coventry.ac.uk/en/persons/marina-chang']
['Kuo-Ming Chao'],['https://pureportal.coventry.ac.uk/en/persons/kuo-ming-chao']
['Dennis Chapman'],['https://pureportal.coventry.ac.uk/en/persons/dennis-chapman']
['Maxine Chapman'],['https://pureportal.coventry.ac.uk/en/persons/maxine-chapman']
['Michael Jahi Chappell'],['https://pureportal.coventry.ac.uk/en/persons/michael-jahi-chappell']
['Ioannis Chapsos'],['https://pureportal.coventry.ac.uk/en/persons/ioannis-chapsos']
['Erica Charalambous'],['https://pureportal.coventry.ac.uk/en/persons/erica-charalambous']
['Maria Charalampous'],['https://pureportal.coventry.ac.uk/en/persons/maria-charalampous']
['Oliver Peter Charles'],['https://pureportal.coventry.ac.uk/en/persons/oliver-peter-charles']
['Sarah Jane Charles'],['https://pureportal.coventry.ac.uk/en/persons/sarah-jane-charles']
['Sue Charlesworth'],['https://pureportal.coventry.ac.uk/en/persons/sue-charlesworth']
['Chris Charlton'],['https://pureportal.coventry.ac.uk/en/persons/chris-charlton']
['Marian Chatoro'],['https://pureportal.coventry.ac.uk/en/persons/marian-chatoro']
['Rupinderjit Cheema'],['https://pureportal.coventry.ac.uk/en/persons/rupinderjit-cheema']
['Junyuan Chen'],['https://pureportal.coventry.ac.uk/en/persons/junyuan-chen']
['Yu-Hua Chen'],['https://pureportal.coventry.ac.uk/en/persons/yu-hua-chen-chen']
['Yung-Fang Chen'],['https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen']
['Cheng Cheng'],['https://pureportal.coventry.ac.uk/en/persons/cheng-cheng']
['Niki Cheong'],['https://pureportal.coventry.ac.uk/en/persons/niki-cheong']
['Sariya Cheruvallil-Contractor'],['https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor']
['Mehul Chhatbar'],['https://pureportal.coventry.ac.uk/en/persons/mehul-chhatbar']
['TC Chiang'],['https://pureportal.coventry.ac.uk/en/persons/tc-chiang']
['Hillary Chindodo'],['https://pureportal.coventry.ac.uk/en/persons/hillary-chindodo']
['Anitha Chinnaswamy'],['https://pureportal.coventry.ac.uk/en/persons/anitha-chinnaswamy']
['Danielle Nicole Chippett'],['https://pureportal.coventry.ac.uk/en/persons/danielle-nicole-chippett']
['Gabriela Chitroceanu'],['https://pureportal.coventry.ac.uk/en/persons/gabriela-chitroceanu']
['Reason Chivaka'],['https://pureportal.coventry.ac.uk/en/persons/reason-chivaka']
['Ravinder Cholia'],['https://pureportal.coventry.ac.uk/en/persons/ravinder-cholia']
['Graham Chorlton'],['https://pureportal.coventry.ac.uk/en/persons/graham-chorlton']
['Kubra Choudhry'],['https://pureportal.coventry.ac.uk/en/persons/kubra-choudhry']
['Jesper Christensen'],['https://pureportal.coventry.ac.uk/en/persons/jesper-christensen']
['Matej Christiaens'],['https://pureportal.coventry.ac.uk/en/persons/matej-christiaens']
['Stavros Christopoulos'],['https://pureportal.coventry.ac.uk/en/persons/stavros-christopoulos']
['Alexander Chroneos'],['https://pureportal.coventry.ac.uk/en/persons/alexander-chroneos']
['Chigozile Nnamdi Chuku'],['https://pureportal.coventry.ac.uk/en/persons/chigozile-nnamdi-chuku']
['Kemi Chukwuma-Nwuba'],['https://pureportal.coventry.ac.uk/en/persons/kemi-chukwuma-nwuba']
['Rosamaria Kostic Cisneros'],['https://pureportal.coventry.ac.uk/en/persons/rosamaria-kostic-cisneros']
['Priscilla Claeys'],['https://pureportal.coventry.ac.uk/en/persons/priscilla-claeys']
['Michelle Clare'],['https://pureportal.coventry.ac.uk/en/persons/michelle-clare']
['Cain Clark'],['https://pureportal.coventry.ac.uk/en/persons/cain-clark']
['Neil Clarke'],['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
['Samantha Clarke'],['https://pureportal.coventry.ac.uk/en/persons/samantha-clarke']
['Andrew Clements'],['https://pureportal.coventry.ac.uk/en/persons/andrew-clements']
['Suzanne Clisby'],['https://pureportal.coventry.ac.uk/en/persons/suzanne-clisby']
['Thomas Cloake'],['https://pureportal.coventry.ac.uk/en/persons/thomas-cloake']
['Deanne Clouder'],['https://pureportal.coventry.ac.uk/en/persons/deanne-clouder']
['Jane Coad'],['https://pureportal.coventry.ac.uk/en/persons/jane-coad']
['Eoin Coakley'],['https://pureportal.coventry.ac.uk/en/persons/eoin-coakley']
['Thomas Cobb'],['https://pureportal.coventry.ac.uk/en/persons/thomas-cobb']
['Andrew Cobley'],['https://pureportal.coventry.ac.uk/en/persons/andrew-cobley']
['Luis Pedro Cobos Yelavives'],['https://pureportal.coventry.ac.uk/en/persons/luis-pedro-cobos-yelavives']
['Amanda Coleman'],['https://pureportal.coventry.ac.uk/en/persons/amanda-coleman']
['Andy Coleman'],['https://pureportal.coventry.ac.uk/en/persons/andy-coleman']
['Alistair Collins'],['https://pureportal.coventry.ac.uk/en/persons/alistair-collins']
['Charlotte Collins'],['https://pureportal.coventry.ac.uk/en/persons/charlotte-collins']
['Adam Collis'],['https://pureportal.coventry.ac.uk/en/persons/adam-collis']
['Zoe Connor'],['https://pureportal.coventry.ac.uk/en/persons/zoe-connor-2']
['Judith Conroy'],['https://pureportal.coventry.ac.uk/en/persons/judith-conroy']
['Emanuele Conte'],['https://pureportal.coventry.ac.uk/en/persons/emanuele-conte']
['David Cook'],['https://pureportal.coventry.ac.uk/en/persons/david-cook']
['Ellie Cook'],['https://pureportal.coventry.ac.uk/en/persons/eleanor-isabelle-cook-2']
['Faye Cook'],['https://pureportal.coventry.ac.uk/en/persons/faye-cook']
['Kathryn Cook'],['https://pureportal.coventry.ac.uk/en/persons/kathryn-cook']
['Gemma Coombe'],['https://pureportal.coventry.ac.uk/en/persons/gemma-coombe']
['Aaron Cooper'],['https://pureportal.coventry.ac.uk/en/persons/aaron-cooper']
['Simon Cooper'],['https://pureportal.coventry.ac.uk/en/persons/simon-cooper']
['Claire Corbey'],['https://pureportal.coventry.ac.uk/en/persons/claire-corbey']
['Stef Cormack'],['https://pureportal.coventry.ac.uk/en/persons/stef-cormack']
['Paul Corns'],['https://pureportal.coventry.ac.uk/en/persons/paul-corns']
['Maria Correia'],['https://pureportal.coventry.ac.uk/en/persons/maria-correia']
['Jennifer Cosgrave'],['https://pureportal.coventry.ac.uk/en/persons/jennifer-cosgrave']
['Ben Cotterill'],['https://pureportal.coventry.ac.uk/en/persons/ben-cotterill']
['Steve Coupe'],['https://pureportal.coventry.ac.uk/en/persons/steve-coupe']
['Bernard Matthew David Courts'],['https://pureportal.coventry.ac.uk/en/persons/bernard-matthew-david-courts']
['Stephen Cowden'],['https://pureportal.coventry.ac.uk/en/persons/stephen-cowden']
['Gordon Crawford'],['https://pureportal.coventry.ac.uk/en/persons/gordon-crawford']
['Megan Crawford'],['https://pureportal.coventry.ac.uk/en/persons/megan-crawford']
['Heaven Crawley'],['https://pureportal.coventry.ac.uk/en/persons/heaven-crawley']
['Marie-Louise Crawley'],['https://pureportal.coventry.ac.uk/en/persons/marie-louise-crawley']
['Gill Cressey'],['https://pureportal.coventry.ac.uk/en/persons/gill-cressey']
['Sue Cresswell'],['https://pureportal.coventry.ac.uk/en/persons/sue-cresswell']
['Michael Cribb'],['https://pureportal.coventry.ac.uk/en/persons/michael-cribb']
['Sarah Critten'],['https://pureportal.coventry.ac.uk/en/persons/sarah-critten']
['Mario Cuevas Henriquez'],['https://pureportal.coventry.ac.uk/en/persons/mario-cuevas-henriquez']
['Tom Cullen'],['https://pureportal.coventry.ac.uk/en/persons/tom-cullen']
['Oliver Curnick'],['https://pureportal.coventry.ac.uk/en/persons/oliver-curnick']
['David Curran'],['https://pureportal.coventry.ac.uk/en/persons/david-curran']
['Niall Curry'],['https://pureportal.coventry.ac.uk/en/persons/niall-curry']
['Funke Dacosta-Salu'],['https://pureportal.coventry.ac.uk/en/persons/funke-dacosta-salu']
['Katherine da Cunha Lewin'],['https://pureportal.coventry.ac.uk/en/persons/katherine-da-cunha-lewin']
['Adeboye Dada'],['https://pureportal.coventry.ac.uk/en/persons/adeboye-dada']
['Deneise Dadd'],['https://pureportal.coventry.ac.uk/en/persons/deneise-dadd']
['Jonathan Dale'],['https://pureportal.coventry.ac.uk/en/persons/jonathan-dale']
['Alexander David Francis Dallaway'],['https://pureportal.coventry.ac.uk/en/persons/alexander-david-francis-dallaway']
['Lee Matthew Daly'],['https://pureportal.coventry.ac.uk/en/persons/lee-daly']
['Matthew Danes'],['https://pureportal.coventry.ac.uk/en/persons/matthew-danes']
['Alireza Daneshkhah'],['https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']
['Amir Daneshvar'],['https://pureportal.coventry.ac.uk/en/persons/amir-daneshvar-daneshvar-hakimi-meibodi-2']
['QueAnh Dang'],['https://pureportal.coventry.ac.uk/en/persons/que-anh-dang']
['Sofya Danilova'],['https://pureportal.coventry.ac.uk/en/persons/sofya-danilova']
['Phuong Dong Dao'],['https://pureportal.coventry.ac.uk/en/persons/phuong-dong-dao']
['Ali Hossain Alewai Daraji'],['https://pureportal.coventry.ac.uk/en/persons/ali-hossain-alewai-daraji']
['Francis Darko'],['https://pureportal.coventry.ac.uk/en/persons/francis-darko']
['Amber Darr'],['https://pureportal.coventry.ac.uk/en/persons/amber-darr']
['Marwan Darweish'],['https://pureportal.coventry.ac.uk/en/persons/marwan-darweish']
['Richard Dashwood'],['https://pureportal.coventry.ac.uk/en/persons/richard-dashwood']
['Sanghamitra Datta'],['https://pureportal.coventry.ac.uk/en/persons/sanghamitra-datta']
['Ravi Dave'],['https://pureportal.coventry.ac.uk/en/persons/ravi-dave']
['Sarah Davey'],['https://pureportal.coventry.ac.uk/en/persons/sarah-davey']
['Elaine Davies'],['https://pureportal.coventry.ac.uk/en/persons/elaine-davies']
['Huw Davies'],['https://pureportal.coventry.ac.uk/en/persons/huw-davies']
['Joseph James Davies'],['https://pureportal.coventry.ac.uk/en/persons/joseph-james-davies']
['Rachael Davies'],['https://pureportal.coventry.ac.uk/en/persons/rachael-davies-2']
['Robert Davies'],['https://pureportal.coventry.ac.uk/en/persons/robert-davies']
['Siobhan Davies'],['https://pureportal.coventry.ac.uk/en/persons/siobhan-davies']
['Comfort Davis'],['https://pureportal.coventry.ac.uk/en/persons/comfort-davis']
['Joseph Davis'],['https://pureportal.coventry.ac.uk/en/persons/joseph-davis']
['Stephen Dawkins'],['https://pureportal.coventry.ac.uk/en/persons/stephen-dawkins']
['James Dawson'],['https://pureportal.coventry.ac.uk/en/persons/james-dawson']
['Mark Dawson'],['https://pureportal.coventry.ac.uk/en/persons/mark-dawson']
['Christopher Day'],['https://pureportal.coventry.ac.uk/en/persons/christopher-day']
['Mohammed Dayoub'],['https://pureportal.coventry.ac.uk/en/persons/mohammed-dayoub']
['James Dayus'],['https://pureportal.coventry.ac.uk/en/persons/james-dayus']
['Ana Margarida De Areia Soares'],['https://pureportal.coventry.ac.uk/en/persons/ana-margarida-de-areia-soares']
['Giuseppe Deganutti'],['https://pureportal.coventry.ac.uk/en/persons/giuseppe-deganutti']
['Sara Degli-Esposti'],['https://pureportal.coventry.ac.uk/en/persons/sara-degli-esposti-2']
['Katharina Dehnen-Schmutz'],['https://pureportal.coventry.ac.uk/en/persons/katharina-dehnen-schmutz']
['Scott Delahunta'],['https://pureportal.coventry.ac.uk/en/persons/scott-delahunta']
['Charo del Genio'],['https://pureportal.coventry.ac.uk/en/persons/charo-del-genio']
['Akin Delibasi'],['https://pureportal.coventry.ac.uk/en/persons/akin-delibasi']
['Arnaldo Delli-Carri'],['https://pureportal.coventry.ac.uk/en/persons/arn-delli-carri']
['Tereso del Rio Almajano'],['https://pureportal.coventry.ac.uk/en/persons/tereso-del-rio-almajano']
['Ayse Demir'],['https://pureportal.coventry.ac.uk/en/persons/ayse-demir']
['Emily Demosthenous'],['https://pureportal.coventry.ac.uk/en/persons/emily-demosthenous']
['Clair Dempsey'],['https://pureportal.coventry.ac.uk/en/persons/clair-dempsey']
['Stephanie Denning'],['https://pureportal.coventry.ac.uk/en/persons/stephanie-denning']
['Francesca Denton'],['https://pureportal.coventry.ac.uk/en/persons/francesca-denton']
['Sally Denton'],['https://pureportal.coventry.ac.uk/en/persons/sally-denton']
['Karan Derekar'],['https://pureportal.coventry.ac.uk/en/persons/karan-derekar']
['Pedro Miguel de Sousa Santos'],['https://pureportal.coventry.ac.uk/en/persons/pedro-miguel-de-sousa-santos']
['Tiphaine De Valon'],['https://pureportal.coventry.ac.uk/en/persons/tiphaine-de-valon']
['Ciaran Devane'],['https://pureportal.coventry.ac.uk/en/persons/ciaran-devane']
['John Devane'],['https://pureportal.coventry.ac.uk/en/persons/john-devane']
['Timothy Devenport'],['https://pureportal.coventry.ac.uk/en/persons/timothy-devenport']
['Nandu Devi'],['https://pureportal.coventry.ac.uk/en/persons/nandu-devi']
['Glauco De Vita'],['https://pureportal.coventry.ac.uk/en/persons/glauco-de-vita']
['Benjamin Dew'],['https://pureportal.coventry.ac.uk/en/persons/benjamin-dew']
['Micia De Wet'],['https://pureportal.coventry.ac.uk/en/persons/micia-de-wet']
['Alun DeWinter'],['https://pureportal.coventry.ac.uk/en/persons/alun-dewinter']
['Sunita Dewitt'],['https://pureportal.coventry.ac.uk/en/persons/sunita-dewitt']
['Sharan Dhadda'],['https://pureportal.coventry.ac.uk/en/persons/sharan-dhadda']
['Sunil Dhap'],['https://pureportal.coventry.ac.uk/en/persons/sunil-dhap']
['Sally Dibb'],['https://pureportal.coventry.ac.uk/en/persons/sally-dibb']
['Laura Di Chiacchio'],['https://pureportal.coventry.ac.uk/en/persons/laura-di-chiacchio']
['Alexander Diederich'],['https://pureportal.coventry.ac.uk/en/persons/alexander-diederich']
['Bastien Dieppois'],['https://pureportal.coventry.ac.uk/en/persons/bastien-dieppois']
['Elisavet Dimitrokali'],['https://pureportal.coventry.ac.uk/en/persons/elisavet-dimitrokali']
['Edward Djan'],['https://pureportal.coventry.ac.uk/en/persons/edward-djan']
['Aneesha Doal'],['https://pureportal.coventry.ac.uk/en/persons/aneesha-doal']
['Trang Doan'],['https://pureportal.coventry.ac.uk/en/persons/trang-doan']
['Dorota Dobrzanska'],['https://pureportal.coventry.ac.uk/en/persons/dorota-dobrzanska']
['Mike Dodd'],['https://pureportal.coventry.ac.uk/en/persons/mike-dodd']
['Pablo Domene'],['https://pureportal.coventry.ac.uk/en/persons/pablo-domene']
['Honglin Dong'],['https://pureportal.coventry.ac.uk/en/persons/honglin-dong']
['James Donnelly'],['https://pureportal.coventry.ac.uk/en/persons/james-donnelly']
['Valerie Doolan'],['https://pureportal.coventry.ac.uk/en/persons/valerie-doolan-2']
['Michelle Dorgan'],['https://pureportal.coventry.ac.uk/en/persons/michelle-dorgan']
['Lauren Doyle'],['https://pureportal.coventry.ac.uk/en/persons/lauren-doyle']
['Carol Drugan'],['https://pureportal.coventry.ac.uk/en/persons/carol-drugan']
['Les Duckers'],['https://pureportal.coventry.ac.uk/en/persons/les-duckers']
['Jennifer Dudley'],['https://pureportal.coventry.ac.uk/en/persons/jennifer-dudley']
['Dirk Dugdale Duwell'],['https://pureportal.coventry.ac.uk/en/persons/dirk-dugdale-duwell']
['Ignatius Andrew Duhu'],['https://pureportal.coventry.ac.uk/en/persons/ignatius-andrew-duhu']
['Yasin Duman'],['https://pureportal.coventry.ac.uk/en/persons/yasin-duman']
['Allison Duncan'],['https://pureportal.coventry.ac.uk/en/persons/allison-duncan']
['Michael Duncan'],['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
['Ian Dunwell'],['https://pureportal.coventry.ac.uk/en/persons/ian-dunwell']
['Hannelie Du Plessis-Walker'],['https://pureportal.coventry.ac.uk/en/persons/hannelie-du-plessis-walker']
['Ololade Durodola'],['https://pureportal.coventry.ac.uk/en/persons/ololade-durodola']
['Jaque Daniel Jon Simon Durrant'],['https://pureportal.coventry.ac.uk/en/persons/jaque-daniel-jon-simon-durrant']
['Adolphus Chukwunonso Duru'],['https://pureportal.coventry.ac.uk/en/persons/adolphus-chukwunonso-duru']
